win_length,x,dXY,dXY_inv,vX,vX_inv,vY,vY_inv,Q0,Q1,Q2,Q3,Q4,nx,ny,gap_prop,A_dXY,A_dXY_inv,A_vX,A_vX_inv,A_vY,A_vY_inv,A_Q4,A_nx,A_ny,A_rand_idx,A_adj_rand_idx,A_ham_idx
20,0,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,1,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,2,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,3,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,4,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,5,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,6,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,7,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,8,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,9,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,10,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,11,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,12,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,13,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,14,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,15,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,16,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,17,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,18,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,19,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,20,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,21,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,22,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,23,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,24,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,25,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,26,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,27,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,28,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,29,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,30,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,31,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,32,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,33,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,34,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,35,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,36,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,37,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,1,0,0,0,0.5,2,78,0.633228,-0.0336625,0.2375
20,38,0.015873,0,0,0,0.031746,0,0.0157484,0.015873,-0.015873,0,0.015873,17,63,0.9875,0.5,0,0,0,1,0,0.5,78,2,0.633228,-0.0336625,0.2375
20,39,0.0159127,0,0,0,0.0317742,0,0.0157874,0.0159127,-0.0158615,5.11892e-05,0.0159127,17,63,0.986875,0.499391,0,6.41025e-05,0,1,0,0.499391,78,2,0.633228,-0.0336625,0.2375
20,40,0.0160317,0,0,0,0.0319611,0,0.0159046,0.0160317,-0.0159293,0.000102408,0.0160317,17,63,0.98625,0.498846,0,0.00025641,0,1,0,0.498846,78,2,0.633228,-0.0336625,0.2375
20,41,0.0162302,0,0,0,0.0323515,0,0.0160998,0.0162302,-0.0161213,0.000108827,0.0162302,17,63,0.985625,0.498927,0,0.000576923,0,1,0,0.498927,78,2,0.633228,-0.0336625,0.2375
20,42,0.0165079,0,0,0,0.0328981,0,0.0163732,0.0165079,-0.0163902,0.000117749,0.0165079,17,63,0.985,0.499039,0,0.00102564,0,0.999998,0,0.499039,78,2,0.633228,-0.0336625,0.2375
20,43,0.0168651,0,0,0,0.0336009,0,0.0167245,0.0168651,-0.0167358,0.00012929,0.0168651,17,63,0.984375,0.499183,0,0.00160256,0,1,0,0.499183,78,2,0.633228,-0.0336625,0.2375
20,44,0.0173016,0,0,0,0.034415,0,0.0171536,0.0173016,-0.0171134,0.000188172,0.0173016,17,63,0.98375,0.545,0,0,0,0.7225,0,0.545,78,2,0.633228,-0.0336625,0.2375
20,45,0.0178175,0,0,0,0.0353879,0,0.0176606,0.0178175,-0.0175704,0.000247039,0.0178175,17,63,0.983125,0.56125,0,0,0,0.639981,0,0.56125,78,2,0.633228,-0.0336625,0.2375
20,46,0.0184127,0,0,0,0.0365591,0,0.0182452,0.0184127,-0.0181464,0.000266254,0.0184127,17,63,0.9825,0.580001,0,0.639999,0,0,0,0.580001,2,78,0.633228,-0.0336625,0.2375
20,47,0.0190873,0,0,0,0.0378866,0,0.0189074,0.0190873,-0.0187993,0.000288032,0.0190873,17,63,0.981875,0.60125,0,0.640013,0,0,0,0.60125,2,78,0.633228,-0.0336625,0.2375
20,48,0.0198413,0,0,0,0.0393702,0,0.019647,0.0198413,-0.0195289,0.000312343,0.0198413,17,63,0.98125,0.625,0,0.639999,0,0,0,0.625,2,78,0.633228,-0.0336625,0.2375
20,49,0.0206746,0,0,0,0.04101,0,0.0204638,0.0206746,-0.0203354,0.000339188,0.0206746,17,63,0.980625,0.65125,0,0,0,0.639985,0,0.65125,78,2,0.633228,-0.0336625,0.2375
20,50,0.0215873,0,0,0,0.042806,0,0.0213575,0.0215873,-0.0212187,0.000368651,0.0215873,17,63,0.98,0.68,0,0,0,0.64,0,0.68,78,2,0.633228,-0.0336625,0.2375
20,51,0.0225794,0,0,0,0.0447581,0,0.0223282,0.0225794,-0.0221787,0.000400655,0.0225794,17,63,0.979375,0.71125,0,0,0,0.639979,0,0.71125,78,2,0.633228,-0.0336625,0.2375
20,52,0.0236508,0,0,0,0.0468267,0,0.0233754,0.0236508,-0.0231759,0.000474874,0.0236508,17,63,0.97875,0.745,0,0,0,0.562488,0,0.745,78,2,0.633228,-0.0336625,0.2375
20,53,0.0248413,0,0,0,0.049168,0,0.0245378,0.0248413,-0.0243267,0.000514559,0.0248413,17,63,0.9775,0.781251,0,0.562487,0,6.41025e-05,0,0.781251,2,78,0.633228,-0.0336625,0.2375
20,54,0.0261905,0,0,0,0.051819,0,0.0258534,0.0261905,-0.0256285,0.000561941,0.0261905,17,63,0.97625,0.820001,0,0.562503,0,0.00025641,0,0.820001,2,78,0.633228,-0.0336625,0.2375
20,55,0.0276984,0,0,0,0.0547376,0,0.0273217,0.0276984,-0.0270392,0.000659231,0.0276984,17,63,0.975,0.860722,0,0.000576923,0,0.562501,0,0.860722,78,2,0.633228,-0.0336625,0.2375
20,56,0.0293651,0,0,0,0.0579685,0,0.0289422,0.0293651,-0.0286034,0.000761636,0.0293651,17,63,0.97375,0.90444,0,0.489999,0,0.00102564,0,0.90444,2,78,0.633228,-0.0336625,0.2375
20,57,0.0311905,0,0,0,0.0615463,0,0.030714,0.0311905,-0.0303558,0.000834655,0.0311905,17,63,0.9725,0.950658,0,0.00160256,0,0.49,0,0.950658,78,2,0.633228,-0.0336625,0.2375
20,58,0.0331746,0,0,0,0.0653993,0,0.0326362,0.0331746,-0.0322247,0.000949882,0.0331746,17,63,0.97125,0.999376,0,0.422501,0,0.00230769,0,0.999376,2,78,0.633228,-0.0336625,0.2375
20,59,0.0336905,0,0,0,0.0663825,0,0.0331354,0.0336905,-0.032692,0.000998497,0.0336905,17,63,0.970625,0.998751,0,0.490005,0,0.00314103,0,0.998751,2,78,0.633228,-0.0336625,0.2375
20,60,0.0342857,0,0,0,0.0674399,0,0.033711,0.0342857,-0.0331542,0.00113153,0.0342857,17,63,0.97,0.997566,0,0.490001,0,0.00410256,0,0.997566,2,78,0.633228,-0.0336625,0.2375
