"win_length","x","Q1","Q2","Q3","Q4","A_MAXQ1,Q2)","A_NORM(Q3)","MAX_Q1","MAX_Q2","MAX_Q3","MAX_Q4","MAX(All)"
20,0,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,20,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,40,0.013835600,-0.013759500,0.000076098,0.013835600,0.0138356000,0.000038049,,,,,
20,60,0.029589000,-0.028748200,0.000840880,0.029589000,0.0295890000,0.000420440,,,,,
20,80,0.041095900,-0.039377900,0.001718040,0.041095900,0.0410959000,0.000859020,,,,,
20,100,0.041095900,-0.039418800,0.001677130,0.041095900,0.0410959000,0.000838565,,,,,
20,120,0.041095900,-0.039492000,0.001603880,0.041095900,0.0410959000,0.000801940,,,,,
20,140,0.041095900,-0.039300800,0.001795090,0.041095900,0.0410959000,0.000897545,,,,,
20,160,0.051575300,-0.048257200,0.003318120,0.051575300,0.0515753000,0.001659060,,,,,
20,180,0.100000000,-0.086356400,0.013643600,0.100000000,0.1000000000,0.006821800,,,,,
20,200,0.091164400,-0.078457500,0.012707000,0.091164400,0.0911644000,0.006353500,,,,,
20,220,0.132891000,-0.107905000,0.024986400,0.190748000,0.1328910000,0.012493200,,,,,
20,240,0.170810000,-0.019067300,0.151742000,0.418905000,0.1708100000,0.075871000,,,,,
20,260,0.255552000,-0.046824500,0.208727000,0.446385000,0.2555520000,0.104363500,,,,,
20,280,0.155564000,-0.020307900,0.135256000,0.306160000,0.1555640000,0.067628000,,,,,
20,300,0.131644000,0.012268600,0.143913000,0.343430000,0.1316440000,0.071956500,,,,,
20,320,0.100385000,-0.001033400,0.099351800,0.325147000,0.1003850000,0.049675900,,,,,
20,340,0.121070000,0.020405400,0.141475000,0.217974000,0.1210700000,0.070737500,,,,,
20,360,0.077356400,0.016099600,0.093456000,0.218190000,0.0773564000,0.046728000,,,,,
20,380,0.166689000,-0.056765900,0.109923000,0.211927000,0.1666890000,0.054961500,,,,,
20,400,0.173319000,-0.001878380,0.171440000,0.220700000,0.1733190000,0.085720000,,,,,
20,420,0.131128000,0.002881320,0.134010000,0.250533000,0.1311280000,0.067005000,,,,,
20,440,0.091839600,-0.020965200,0.070874400,0.230411000,0.0918396000,0.035437200,,,,,
20,460,0.251000000,-0.038503100,0.212497000,0.370524000,0.2510000000,0.106248500,,,,,
20,480,0.175648000,-0.023401600,0.152246000,0.297671000,0.1756480000,0.076123000,,,,,
20,500,0.136858000,-0.071743600,0.065114000,0.272691000,0.1368580000,0.032557000,,,,,
20,520,0.167505000,-0.016468600,0.151036000,0.276076000,0.1675050000,0.075518000,,,,,
20,540,0.127957000,-0.014233600,0.113723000,0.232123000,0.1279570000,0.056861500,,,,,
20,560,0.126515000,-0.013198700,0.113316000,0.221634000,0.1265150000,0.056658000,,,,,
20,580,0.157942000,-0.057358200,0.100584000,0.220680000,0.1579420000,0.050292000,,,,,
20,600,0.169767000,-0.000165731,0.169601000,0.251791000,0.1697670000,0.084800500,,,,,
20,620,0.173736000,-0.089174800,0.084561500,0.310284000,0.1737360000,0.042280750,,,,,
20,640,0.112658000,-0.041457800,0.071200300,0.247182000,0.1126580000,0.035600150,,,,,
20,660,0.030677000,0.077088000,0.107765000,0.278772000,0.0770880000,0.053882500,,,,,
20,680,0.090052800,0.025473100,0.115526000,0.391958000,0.0900528000,0.057763000,,,,,
20,700,0.042878500,0.048909000,0.091787500,0.316331000,0.0489090000,0.045893750,,,,,
20,720,0.502425000,0.239754000,0.742179000,0.675401000,0.5024250000,0.371089500,,,,,
20,740,0.028592600,-0.005524350,0.023068300,0.030259300,0.0285926000,0.011534150,,,,,
20,760,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,780,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,800,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,820,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,840,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,860,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,880,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,900,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,920,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,940,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,960,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,980,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1000,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1020,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1040,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1060,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1080,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1100,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1120,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1140,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1160,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1180,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1200,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1220,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1240,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
20,1260,0.013698600,-0.013698600,0.000000000,0.013698600,0.0136986000,0.000000000,,,,,
