win_length,index,dXY,vX,vY,q0,q1,q2,q3,q4 
20,0,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,1,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,2,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,3,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,4,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,5,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,6,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,7,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,8,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,9,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,10,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,11,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,12,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,13,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,14,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,15,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,16,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,17,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,18,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,19,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,20,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,21,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,22,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,23,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,24,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,25,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,26,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
20,27,0.016667,0.000000,0.033333,0.016529,0.016667,-0.016667,0.000000,0.016667
